,content
0,"김성윤, 2타점 3루타 등 3안타 3타점으로 맹타||선발 뷰캐넌, 6이닝 5피안타 6탈삼진 2실점 호투||좌·우완 이승현과 장필준 등 불펜도 3이닝 무실점
삼성 라이온즈의 김성윤이 29일 서울 고척 스카이돔에서 열린 키움 히어로즈와의 경기에 출전, 안타를 때려내고 있다. 삼성 제공
뜨거워진 방망이를 앞세워 상대를 꺾었다. 외국인 에이스도 제 몫을 해냈다. <br/> <br/> 삼성 라이온즈는 29일 서울 고척 스카이돔에서 열린 2023 프로야구 키움 히어로즈와의 경기에 출격, 7대2로 승리했다. 김성윤이 2타점 3루타를 포함해 3안타 3타점으로 맹활약했고 선발 데이비드 뷰캐넌은 6이닝 5피안타 6탈삼진 2실점으로 승리 투수가 됐다. <br/> <br/> 후반기 박진만 감독의 얘기대로 삼성이 달라진 모습을 보여주고 있다. 특히 방망이가 매섭게 도는 중이다. 후반기만 따지면 삼성이 팀 타율 1위(0.329)다. 전날 키움과의 경기에서 연장 승부 끝에 5대5로 비겼는데 삼성은 15안타를 때리며 끈질긴 승부를 이어갔다. <br/> <br/> 이날도 삼성은 11안타를 때리며 뜨거운 타격감을 이어갔다. 2회초 강한울이 2루타를 날렸고 이재현이 1타점 적시타를 때려 선취점을 뽑았다. 이어진 1사 1, 2루 기회에선 류지혁이 1타점 적시타를 날려 2대0으로 달아났다. 김현준의 내야 땅볼 때 키움 1루수 김웅빈의 홈 송구가 빗나가 추가점을 올렸고, 김성윤이 적시타를 때려 4대0으로 앞서나갔다. <br/> <br/> 삼성은 6회초 추가 득점했다. 호세 피렐라가 2루타를 치고 출루한 뒤 강한울이 내야 땅볼, 이재현이 삼진으로 물러나 기회가 무산되는 듯했다. 하지만 김동진이 1타점 2루타를 터뜨려 1점을 추가했다. <br/> <br/> 경기 후반 김성윤이 승부에 쐐기를 박았다. 8회초 김동진의 볼넷과 김현준의 내야 안타로 만들어진 2사 1, 2루 기회에서 김성윤이 좌중간을 가르는 2타점 3루타를 날려 2점을 보탰다. <br/> <br/> 뷰캐넌을 필두로 마운드도 힘을 냈다. 뷰캐넌은 이날 6이닝을 잘 버티면서 시즌 8승을 챙겼다. 3회말 이주형, 이지영, 김태진, 이용규에게 잇따라 안타를 내주며 2점을 빼앗겼다. 하지만 후속 타자들을 삼진 2개와 투수 앞 땅볼로 처리하며 위기를 잘 넘겼다. <br/> <br/> 뷰캐넌에 이어 등판한 불펜도 키움 타선을 잘 막았다. 좌완 이승현(⅔이닝 무실점)과 우완 이승현(1⅓이닝 무실점)이 두 이닝을 무실점으로 버텼고 9회말 마운드에 오른 장필준도 1이닝을 무실점으로 막아 승리를 지켰다. <br/> <br/> 한편 키움은 이날 오후 선발 투수로 예고됐던 최원태가 오전에 LG 트윈스로 이적, 김동혁을 급히 선발로 세우는 등 마운드를 운영하는 데 어려움을 겪었다. 삼성으로선 상대의 빈틈을 효과적으로 공략한 셈이다. 키움은 최원태를 보내는 대신 LG로부터 야수 이주형과 투수 김동규, 2024년 신인 드래프트 1라운드 지명권을 받았다."
1,"전남 영광군 홍충읍 계마리에 자리한 한빛원전(옛 영광원전)의 모습. 2015.6.3./사진=뉴스1
[머니투데이 성시호 기자] 29일 전북 장수군 북부에서 발생한 지진은 국내 원자력 발전소에 별다른 영향을 주지 않은 것으로 나타났다.<br/><br/>한국수력원자력은 이날 지진에 대해 ""원전에 영향은 없었다""고 밝혔다. 원전은 정상 운전 중이고, 모든 원전의 지진계측값이 지진경보 설정값(0.01G) 미만이었다.<br/><br/>원전 중 이날 지진 지역과 가장 가까운 곳은 전북 장수군과 약 70km 떨어진 전남 영광 한빛원전이다. 나머지 원전은 동해안에 건설됐다. 국내에선 원전 총 25기 중 정비·정지 중인 5기를 뺀 20기가 운전 중이다.<br/><br/>행정안전부는 중앙재난안전대책본부(중대본) 1단계를 가동, 위기 경보를 관심·주의·경계·심각 단계 중 '경계'로 발령했다. 한덕수 국무총리는 29일 산업통상자원부 등에 원전을 비롯한 국가 기간 서비스를 철저히 점검하고 비상조치에 만전을 다하라고 요청했다."
2,중국과 러시아 해군 함정 10척이 어제(28일)부터 이틀간 일본 홋카이도와 러시아 사할린 사이 소야 해협을 거쳐 동해에서 오호츠크해로 빠져나갔다고 일본 방위성 측이 밝혔습니다.<br/><br/>교도통신에 따르면 중국 해군 구축함과 보급함 등 5척과 러시아 해군 구축함과 프리깃함 등 5척이 북동쪽으로 항행하고 있는 것을 해상자위대가 확인했습니다.<br/><br/>일본 방위성은 이들 함정이 태평양에서 연합 순찰을 실시할 것으로 보고 경계 감시 활동을 벌이고 있습니다.<br/><br/>앞서 중국과 러시아 양국은 지난 18일부터 6일간 동해에서 군함 10여척과 군용기 30여대를 동원한 훈련을 진행한 데 이어 태평양 지역 합동 순찰을 벌일 것이라고 밝힌 바 있습니다.<br/>YTN 황보연 (hwangby@ytn.co.kr)
3,"[한라일보] 제주지역 휘발유 가격이 가파른 상승세를 보이며 리터당 1700원을 넘어섰다.<br/>29일 유가정보사이트 '오피넷'에 따르면 이날 오후 9시 기준 제주지역의 휘발유 리터당 평균가격은 1705원이다.<br/>이 같은 가격은 전국평균 1620원보다는 85원 높은 것으로 서울(1708원)에 이어 전국 최고 수준이다. 28일 평균가는 서울보다 높아 전국 최고를 보이기도 했다.<br/>이달 초 1605원까지 떨어졌던 휘발유 가격은 한 달 내내 지속적으로 오름세를 보이며 지난해 11월3일 1708원 이후 9개월여만에 1700원대를 돌파한 것이다.<br/>제주지역의 셀프 주유소를 제외한 상당수 주유소들의 가격이 1740원대를 보이고 있는 상태이며 최저가는 주유소는 1678원선이다.<br/>지난 26일까지 1400원대를 유지하던 제주지역 경유가격도 29일 기준 1530원으로 상승세를 보이고 있다.<br/>전국평균가 1431원보다 99원 높은 수준으로 서울에 이은 최고 수준이다. 지난 5월 2일 이후 3개월여 만에 1500원대로 올라섰다.<br/>정유업계 관계자는 ""휘발유와 경유의 국제가격이 오르고 있어 다음 주에도 오름 폭이 더 커질 가능성이 있다""고 말했다."
4,"[KBS 제주]<br/>산지를 제외한 제주 전역에 폭염특보가 내려진 가운데, 높은 습도까지 더해지며 체감온도는 우도 35.4도, 애월 33.8도까지 치솟았습니다.<br/><br/>주말을 맞아 무더위를 식히려는 도민과 관광객들은 이호와 삼양, 금능, 표선 등 다채로운 여름 축제가 펼쳐지는 해수욕장을 찾았습니다.<br/><br/>제주지방기상청은 모레까지 소나기가 내리며 체감온도는 최고 35도까지 오르겠고 열대야가 나타나는 곳이 많겠다며, 건강관리에 각별한 주의를 요청했습니다."
5,"[KBS 제주]<br/>어제(28일) 새벽 발생한 제6호 태풍 '카눈'은 중국 대륙을 향할 것으로 예보됐습니다.<br/><br/>기상청은 괌 서쪽 약 730㎞ 해상에서 발생한 제6호 태풍 카눈이 오늘 강도 '중'으로 세력을 키운 뒤 내일은 강한 태풍으로 발달하겠지만 일본 오키나와 남동쪽 해상에서 북서쪽으로 방향을 틀어 다음달 2일쯤 중국 상하이 부근 육상에 상륙할 것으로 내다봤습니다.<br/><br/>따라서 제주도에 직접 영향을 미치지는 않겠지만, 중국에 상륙하는 과정에서 간접영향 가능성이 있다며 앞으로 기상예보에 관심을 주문했습니다."
6,"[KBS 청주]<br/>급성 호흡기 질환을 유발하는 레지오넬라균 검출률이 높아졌습니다.<br/><br/>충북보건환경연구원이 최근, 다중이용시설 170여 곳의 냉각탑수와 급수시설 등을 검사한 결과, 레지오넬라균 검출률이 1년 전보다 3.5%p 높은 8.8%로 조사됐습니다."
7,"[KBS 청주]<br/>충북 지역 전체 토지 자산이 244조 원을 넘어선 것으로 나타났습니다.<br/><br/>통계청의 국민대차대조표 자료를 보면 2021년 기준, 충북 전체 토지 자산은 244조 7천여억 원으로 잠정 집계됐습니다.<br/><br/>이는 일 년 전보다 8.1%인 18조 3천여억 원이 늘어난 것입니다."
8,"[앵커]<br/>백현동 개발 특혜와 쌍방울 대북송금 의혹에 대한 검찰 수사가 급물살을 타고 있습니다.<br/><br/>두 의혹의 정점인 더불어민주당 이재명 대표 소환조사도 가시화하면서 검찰이 다음 달 구속영장을 청구할 거란 전망까지 나옵니다.<br/><br/>임성호 기자가 보도합니다.<br/><br/>[기자]<br/>백현동 개발 특혜 비리에 대한 검찰 수사는 민주당 이재명 대표 턱밑까지 다다랐습니다.<br/><br/>지난 2015년 성남시가 '로비스트' 김인섭 전 한국하우징기술 대표의 청탁을 받고 성남도시개발공사를 사업에서 빼며, 민간 시행사에 특혜를 제공해 막대한 이득을 챙기게 했단 의혹입니다.<br/><br/>검찰은 김 전 대표와 백현동 사업 시행사인 아시아디벨로퍼 정 모 회장을 차례로 구속기소 했고, 성남시 공무원들을 불러 인허가 경위를 집중적으로 캐물었습니다.<br/><br/>그 결과 이른바 윗선 개입으로 인허가가 났다는 진술을 확보하고, 지난 25일 이 대표 최측근인 정진상 전 민주당 정무조정실장을 피의자 신분으로 불러 조사했습니다.<br/><br/>검찰은 의혹 규명을 위해 최종 의사 결정권자인 이 대표 직접 조사가 필요하다고 보고 소환조사도 예고했습니다.<br/><br/>이른바 '쌍방울 대북송금' 의혹 사건에서도 이 대표는 코너에 몰린 상황입니다.<br/><br/>김성태 전 쌍방울그룹 회장이 이 대표 방북을 도우려 백억 원을 북한에 대신 보내는 식으로 사실상 뇌물을 건넸단 게 의혹의 핵심입니다.<br/><br/>검찰이 그간 쌍방울과 이 대표 간 부정청탁 관계를 입증하는 데 어려움을 겪었지만, 측근인 이화영 전 경기부지사가 최근 일부 혐의를 인정하며 분위기가 급변했습니다.<br/><br/>대북송금 관련 혐의를 전면 부인해오다, 돌연 쌍방울에 경기지사 방북 추진을 요청했다며 인정하고 나선 겁니다.<br/><br/>또, 해당 내용을 이 대표에게도 보고했다는 취지로 일부 진술을 바꾼 것으로 알려졌습니다.<br/><br/>이 사건 역시 이 대표 최측근인 정진상 전 실장 소환조사가 임박하면서, 다음 달 이 대표 소환 가능성도 커지고 있습니다.<br/><br/>검찰은 이 대표 구속영장 청구 가능성을 배제하지 않고 있는데, 법조계 안팎에선 두 사건을 병합해 영장을 청구할 수 있단 전망도 나옵니다.<br/><br/>대장동 배임·성남FC 3자 뇌물 혐의 등에 대한 체포동의안 부결로 한숨 돌렸던 이 대표가 또 다른 사법 리스크에 겹겹이 싸인 모습입니다.<br/><br/>YTN 임성호입니다.<br/>YTN 임성호 (seongh12@ytn.co.kr)"
9,"[KBS 대구]<br/>오늘 경산 하양의 최고 기온이 38.1도까지 오르는 등 대구와 경북 상당수 지역이 올해 들어 가장 높은 기온을 기록했습니다.<br/><br/>대구 경북 전 지역에 폭염특보가 내려진 가운데 내일도 무더위가 이어집니다.<br/><br/>밤 사이 도심지와 해안 지역을 중심으로 열대야가 나타나겠고, 내일 낮 최고 기온은 32에서 35도 분포로 오늘과 비슷하겠습니다.<br/><br/>한편 경북 경북중남부 내륙과 북동 내륙에는 곳에 따라 5에서 40밀리미터의 소나기가 내리겠습니다."
